,alias,annotation.DB_Object_Name,annotation.GO BIOLOGICAL_PROCESS,annotation.GO CELLULAR_COMPONENT,annotation.GO MOLECULAR_FUNCTION,label,kegg,uniprot,sgd,entrez
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24A,sce:YER074W,RS24A_YEAST,S000000876,854741
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24A,sce:YER074W,RS24A_YEAST,S000000876,856805
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24B,sce:YER074W,RS24B_YEAST,S000001331,854741
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24B,sce:YER074W,RS24B_YEAST,S000001331,856805
YER079W,S000000881,,biological_process,"cytoplasm, nucleus",molecular_function,YEQ9,sce:YER079W,YEQ9_YEAST,S000000881,856812
YER081W,"3-phosphoglycerate dehydrogenase, S000000883, SER3",3-phosphoglycerate dehydrogenase,serine family amino acid biosynthetic process,cytoplasm,phosphoglycerate dehydrogenase activity,SERA,sce:YER081W,SERA_YEAST,S000000883,856814
YER090W,"S000000892, TRP2, anthranilate synthase component I",anthranilate synthase component I,tryptophan biosynthetic process,"anthranilate synthase complex, cytoplasm",anthranilate synthase activity,TRPE,sce:YER090W,TRPE_YEAST,S000000892,856824
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8A,sce:YER102W,RS8A_YEAST,S000000168,852206
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8A,sce:YER102W,RS8A_YEAST,S000000168,856839
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8B,sce:YER102W,RS8B_YEAST,S000000904,852206
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8B,sce:YER102W,RS8B_YEAST,S000000904,856839
YER103W,"S000000905, SSA4, YG107",,"SRP-dependent cotranslational protein targeting to membrane, translocation, protein folding, response to stress","cytoplasm, nucleus","ATPase activity, unfolded protein binding",HSP74,sce:YER103W,HSP74_YEAST,S000000905,856840
YER110C,"KAP123, S000000912, YRB4, karyopherin beta 4",karyopherin beta 4,protein import into nucleus,"cytoplasm, nuclear pore, nucleus",protein carrier activity,IMB4,sce:YER110C,IMB4_YEAST,S000000912,856846
YER111C,"ART1, S000000913, SWI4, transcription factor",transcription factor,"G1/S transition of mitotic cell cycle, transcription",nucleus,"DNA binding, transcription factor activity",SWI4,sce:YER111C,SWI4_YEAST,S000000913,856847
YER112W,"LSM4, S000000914, SDB23, USS1",,"mRNA catabolic process, nuclear mRNA splicing, via spliceosome","U4/U6 x U5 tri-snRNP complex, nucleolus, small nucleolar ribonucleoprotein complex, snRNP U6","RNA binding, RNA splicing factor activity, transesterification mechanism",LSM4,sce:YER112W,LSM4_YEAST,S000000914,856848
YER116C,"S000000918, SLX8",,"protein sumoylation, response to DNA damage stimulus, telomere maintenance",cellular_component,molecular_function,SLX8,sce:YER116C,SLX8_YEAST,S000000918,856852
YER124C,"DSE1, S000000926",,cell wall organization and biogenesis,bud neck,molecular_function,DSE1,sce:YER124C,DSE1_YEAST,S000000926,856861
YER133W,"CID1, DIS2, DIS2S1, GLC7, PP1, S000000935, protein phosphatase type I",protein phosphatase type I,"35S primary transcript processing, cell budding, cell ion homeostasis, cellular morphogenesis during vegetative growth, chromosome segregation, glycogen metabolic process, histone dephosphorylation, meiosis, mitotic spindle checkpoint, protein amino acid dephosphorylation, regulation of carbohydrate metabolic process, regulation of progression through cell cycle, response to heat, sporulation (sensu the Fungi research community), transcription termination from Pol II promoter, RNA polymerase(A) coupled, transcription termination from Pol II promoter, RNA polymerase(A)-independent","bud neck, mRNA cleavage and polyadenylation specificity factor complex, mating projection base, nucleolus, protein phosphatase type 1 complex, spindle pole body",protein phosphatase type 1 activity,PP12,sce:YER133W,PP12_YEAST,S000000935,856870
YER143W,"DDI1, S000000945, VSM1",,"ubiquitin-dependent protein catabolic process, vesicle-mediated transport",plasma membrane,SNARE binding,DDI1,sce:YER143W,DDI1_YEAST,S000000945,856886
YER145C,"FTR1, S000000947, iron permease",iron permease,high affinity iron ion transport,plasma membrane,iron ion transporter activity,FTR1,sce:YER145C,FTR1_YEAST,S000000947,856888
YER179W,"DMC1, ISC2, S000000981",,"meiosis, meiotic joint molecule formation, meiotic recombination","condensed nuclear chromosome, nucleus","double-stranded DNA binding, single-stranded DNA binding",DMC1,sce:YER179W,DMC1_YEAST,S000000981,856926
YFL017C,"GNA1, PAT1, S000001877, glucosamine-phosphate N-acetyltransferase",glucosamine-phosphate N-acetyltransferase,UDP-N-acetylglucosamine biosynthetic process,"cytoplasm, nucleus",glucosamine 6-phosphate N-acetyltransferase activity,GNA1,sce:YFL017C,GNA1_YEAST,S000001877,850529
YFL026W,"alpha-factor pheromone receptor, G protein coupled receptor (GPCR), S000001868, STE2","G protein coupled receptor (GPCR), alpha-factor pheromone receptor","cell projection biogenesis, response to pheromone during conjugation with cellular fusion",integral to plasma membrane,mating-type alpha-factor pheromone receptor activity,STE2,sce:YFL026W,STE2_YEAST,S000001868,850518
YFL038C,"GTP-binding protein, S000001856, YP2, YPT1",GTP-binding protein,"ER to Golgi vesicle-mediated transport, protein complex assembly","Golgi membrane, endoplasmic reticulum membrane, mitochondrion",GTPase activity,YPT1,sce:YFL038C,YPT1_YEAST,S000001856,850505
YFL039C,"ABY1, ACT1, END7, S000001855, actin",actin,"actin filament reorganization during cell cycle, budding cell isotropic bud growth, cell wall organization and biogenesis, chronological cell aging, cytokinesis, cytokinesis, contractile ring contraction, endocytosis, establishment of cell polarity (sensu the Fungi research community), establishment of mitotic spindle orientation, exocytosis, histone acetylation, mitochondrion inheritance, protein secretion, regulation of transcription from RNA polymerase II promoter, response to osmotic stress, sporulation (sensu the Fungi research community), vacuole inheritance, vesicle transport along actin filament","H4/H2A histone acetyltransferase complex, INO80 complex, SWR1 complex, actin cable, actin cortical patch, actin filament, bud neck contractile ring, histone acetyltransferase complex",structural constituent of cytoskeleton,ACT,sce:YFL039C,ACT_YEAST,S000001855,850504
YFR014C,"CMK1, S000001910, calmodulin-dependent protein kinase",calmodulin-dependent protein kinase,"protein amino acid phosphorylation, signal transduction",cytoplasm,calmodulin-dependent protein kinase I activity,KCC1,sce:YFR014C,KCC1_YEAST,S000001910,850568
YFR034C,"PHO4, S000001930, myc-family transcription factor",myc-family transcription factor,"cellular response to phosphate starvation, phosphate metabolic process","cytoplasm, nucleus",transcription factor activity,PHO4,sce:YFR034C,PHO4_YEAST,S000001930,850594
YFR037C,"RSC8, S000001933, SWH3",,"chromatin remodeling, double-strand break repair via nonhomologous end joining","RSC complex, nucleus",molecular_function,RSC8,sce:YFR037C,RSC8_YEAST,S000001933,850598
YGL008C,"PMA1, S000002976, plasma membrane H+-ATPase",plasma membrane H+-ATPase,"proton transport, regulation of pH","lipid raft, mitochondrion, plasma membrane","hydrogen-exporting ATPase activity, phosphorylative mechanism",PMA1,sce:YGL008C,PMA1_YEAST,S000002976,852876
YGL013C,"AMY1, ANT1, BOR2, CYH3, NRA2, PDR1, S000002981, SMR2, TIL1, TPE1, TPE3, zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type",zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type,"regulation of transcription from RNA polymerase II promoter, response to drug",nucleus,"DNA binding, transcriptional activator activity",PDR1,sce:YGL013C,PDR1_YEAST,S000002981,852871
YGL035C,"C2H2 zinc finger protein that resembles the mammalian Egr and Wilms tumour proteins, CAT4, MIG1, S000003003, SSN1, TDS22",C2H2 zinc finger protein that resembles the mammalian Egr and Wilms tumour proteins,"glucose metabolic process, regulation of transcription from RNA polymerase II promoter","cytoplasm, nucleus",specific RNA polymerase II transcription factor activity,MIG1,sce:YGL035C,MIG1_YEAST,S000003003,852848
YGL044C,"RNA15, S000003012, cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing",cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing,"mRNA cleavage, mRNA polyadenylation",mRNA cleavage factor complex,"RNA binding, protein heterodimerization activity",RNA15,sce:YGL044C,RNA15_YEAST,S000003012,852838
YGL073W,"EXA3, HSF1, MAS3, S000003041, heat shock transcription factor",heat shock transcription factor,"regulation of transcription from RNA polymerase II promoter, response to heat, response to stress, spindle pole body duplication","mitochondrion, nucleus",transcription factor activity,HSF,sce:YGL073W,HSF_YEAST,S000003041,852806
YGL097W,"MTR1, PRP20, S000003065, SRM1, pheromone response pathway suppressor",pheromone response pathway suppressor,"rRNA export from nucleus, ribosome export from nucleus","nuclear chromatin, nucleus",signal transducer activity,RCC1,sce:YGL097W,RCC1_YEAST,S000003065,852782
YGL106W,"MLC1, S000003074, myosin Myo2p light chain",myosin Myo2p light chain,"budding cell apical bud growth, budding cell isotropic bud growth, cytokinesis, cytokinesis, contractile ring formation, endocytosis, establishment of cell polarity (sensu the Fungi research community), membrane addition at site of cytokinesis, mitochondrion inheritance, vacuole inheritance, vesicle-mediated transport","bud neck, bud tip, vesicle","microfilament motor activity, myosin II heavy chain binding",MLC1,sce:YGL106W,MLC1_YEAST,S000003074,852772
YGL115W,"CAT3, S000003083, SCI1, SNF4",,"peroxisome organization and biogenesis, regulation of transcription from RNA polymerase II promoter","cytoplasm, nucleus, plasma membrane",protein kinase activator activity,AAKG,sce:YGL115W,AAKG_YEAST,S000003083,852763
YGL122C,"NAB2, S000003090, polyadenylated RNA binding protein",polyadenylated RNA binding protein,"mRNA polyadenylation, poly(A)+ mRNA export from nucleus","cytoplasm, nucleus",poly(A) binding,NAB2,sce:YGL122C,NAB2_YEAST,S000003090,852755
YGL134W,"PCL10, S000003102",,"regulation of glycogen biosynthetic process, regulation of glycogen catabolic process",cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein kinase regulator activity,PCL10,sce:YGL134W,PCL10_YEAST,S000003102,852743
YGL153W,"PEX14, S000003121, peroxin",peroxin,"protein import into peroxisome matrix, protein targeting to peroxisome",peroxisomal membrane,protein binding,PEX14,sce:YGL153W,PEX14_YEAST,S000003121,852724
YGL161C,"S000003129, YIP5",,vesicle-mediated transport,membrane,Rab GTPase binding,YIP5,sce:YGL161C,YIP5_YEAST,S000003129,852715
YGL166W,"ACE1, CUP2, S000003134, transcriptional activator",transcriptional activator,"response to copper ion, transcription initiation from RNA polymerase II promoter",nucleus,ligand-regulated transcription factor activity,CUP2,sce:YGL166W,CUP2_YEAST,S000003134,852710
YGL202W,"ARO8, S000003170, aromatic amino acid aminotransferase",aromatic amino acid aminotransferase,aromatic amino acid family metabolic process,cytoplasm,aromatic-amino-acid transaminase activity,ARO8,sce:YGL202W,ARO8_YEAST,S000003170,852672
YGL208W,"S000003176, SIP2, SPM2",,"cell aging, cellular response to glucose starvation, invasive growth (sensu the Saccharomyces research community), protein amino acid phosphorylation, replicative cell aging, signal transduction","cytoplasm, plasma membrane",AMP-activated protein kinase activity,SIP2,sce:YGL208W,SIP2_YEAST,S000003176,852664
YGL229C,"S000003198, SAP4",,G1/S transition of mitotic cell cycle,"cytoplasm, mitochondrion",protein serine/threonine phosphatase activity,SAP4,sce:YGL229C,SAP4_YEAST,S000003198,852622
YGL237C,"HAP2, S000003206, transcriptional activator protein of CYC1 (component of HAP2/HAP3 heteromer)",transcriptional activator protein of CYC1 (component of HAP2/HAP3 heteromer),"regulation of carbohydrate metabolic process, transcription","CCAAT-binding factor complex, nucleus",transcriptional activator activity,HAP2,sce:YGL237C,HAP2_YEAST,S000003206,852614
YGR009C,"HSS7, S000003241, SEC9",,"Golgi to plasma membrane transport, vesicle fusion","SNARE complex, extrinsic to plasma membrane",t-SNARE activity,SEC9,sce:YGR009C,SEC9_YEAST,S000003241,852892
YGR014W,"MSB2, S000003246",,"establishment of cell polarity (sensu the Fungi research community), response to osmotic stress, signal transduction during filamentous growth","integral to plasma membrane, site of polarized growth",osmosensor activity,MSB2,sce:YGR014W,MSB2_YEAST,S000003246,852897
YGR019W,"S000003251, UGA1, gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)",gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase),nitrogen utilization,intracellular,4-aminobutyrate transaminase activity,GABAT,sce:YGR019W,GABAT_YEAST,S000003251,852902
YGR046W,"MMP37, S000003278, TAM41",,protein import into mitochondrial matrix,"extrinsic to mitochondrial inner membrane, mitochondrial matrix, mitochondrion",molecular_function,TAM41,sce:YGR046W,TAM41_YEAST,S000003278,852937
YGR048W,"S000003280, UFD1",,"mRNA processing, protein transport, ubiquitin-dependent protein catabolic process",endoplasmic reticulum,protein binding,UFD1,sce:YGR048W,UFD1_YEAST,S000003280,852939
YGR058W,S000003290,,biological_process,"cytoplasm, nucleus",molecular_function,PEF1,sce:YGR058W,PEF1_YEAST,S000003290,852949
YGR074W,"S000003306, SMD1, SPP92, Sm D1",Sm D1,"nuclear mRNA splicing, via spliceosome","U4/U6 x U5 tri-snRNP complex, commitment complex, snRNP U1, snRNP U5","RNA splicing factor activity, transesterification mechanism, mRNA binding",SMD1,sce:YGR074W,SMD1_YEAST,S000003306,852964
YGR085C,"RPL11B, S000003317, ribosomal protein L11B (L16B) (rp39B) (YL22)",ribosomal protein L11B (L16B) (rp39B) (YL22),ribosomal large subunit assembly and maintenance,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL11B,sce:YGR085C,RL11B_YEAST,S000003317,852976
YGR088W,"CTT1, S000003320, catalase T",catalase T,"response to cold, response to reactive oxygen species, response to stress",cytoplasm,catalase activity,CATT,sce:YGR088W,CATT_YEAST,S000003320,852979
YGR108W,"B-type cyclin, CLB1, S000003340, SCB1",B-type cyclin,"G2/M transition of mitotic cell cycle, meiotic G2/MI transition, mitotic spindle organization and biogenesis in nucleus, regulation of cyclin-dependent protein kinase activity","cytoplasm, nucleus",cyclin-dependent protein kinase regulator activity,CG21,sce:YGR108W,CG21_YEAST,S000003340,853002
YGR136W,"LSB1, S000003368",,biological_process,"cytoplasm, nucleus",molecular_function,LSB1,sce:YGR136W,LSB1_YEAST,S000003368,853037
YGR203W,S000003435,,biological_process,"cytoplasm, nucleus","phosphoric monoester hydrolase activity, protein tyrosine phosphatase activity",YCH1,sce:YGR203W,YCH1_YEAST,S000003435,853117
YGR218W,"CRM1, KAP124, S000003450, XPO1, chromosome region maintenance protein",chromosome region maintenance protein,"mRNA export from nucleus, protein export from nucleus, ribosomal large subunit export from nucleus",nucleus,protein carrier activity,XPO1,sce:YGR218W,XPO1_YEAST,S000003450,853133
YGR254W,"ENO1, HSP48, S000003486, enolase",enolase,"gluconeogenesis, glycolysis","cytoplasm, phosphopyruvate hydratase complex",phosphopyruvate hydratase activity,ENO1,sce:YGR254W,ENO1_YEAST,S000003486,853169
YHR005C,"CDC70, DAC1, G protein alpha subunit, GPA1, S000001047, SCG1",G protein alpha subunit,"heterotrimeric G-protein complex cycle, inositol lipid-mediated signaling, pheromone-dependent signal transduction during conjugation with cellular fusion","endosome, heterotrimeric G-protein complex, plasma membrane",GTPase activity,GPA1,sce:YHR005C,GPA1_YEAST,S000001047,856394
YHR030C,"BYC2, MPK1, S000001072, SLK2, SLT2",,"cell wall organization and biogenesis, protein amino acid phosphorylation, response to acid, signal transduction","bud tip, cytoplasm, nucleus",MAP kinase activity,SLT2,sce:YHR030C,SLT2_YEAST,S000001072,856425
YHR053C,"CUP1, CUP1-1, S000001095, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU1,sce:YHR053C,MTCU1_YEAST,S000001095,856450
YHR053C,"CUP1, CUP1-1, S000001095, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU1,sce:YHR053C,MTCU1_YEAST,S000001095,856452
YHR053C,"CUP1, CUP1-1, S000001095, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU2,sce:YHR053C,MTCU2_YEAST,S000001097,856450
YHR053C,"CUP1, CUP1-1, S000001095, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU2,sce:YHR053C,MTCU2_YEAST,S000001097,856452
YHR055C,"CUP1, CUP1-2, S000001097, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU1,sce:YHR055C,MTCU1_YEAST,S000001095,856450
YHR055C,"CUP1, CUP1-2, S000001097, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU1,sce:YHR055C,MTCU1_YEAST,S000001095,856452
YHR055C,"CUP1, CUP1-2, S000001097, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU2,sce:YHR055C,MTCU2_YEAST,S000001097,856450
YHR055C,"CUP1, CUP1-2, S000001097, copper binding metallothionein",copper binding metallothionein,response to copper ion,cytosol,copper ion binding,MTCU2,sce:YHR055C,MTCU2_YEAST,S000001097,856452
YHR071W,"PCL5, S000001113",,cell cycle,cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein kinase regulator activity,PCL5,sce:YHR071W,PCL5_YEAST,S000001113,856468
YHR084W,"S000001126, STE12, transcription factor",transcription factor,"conjugation with cellular fusion, invasive growth (sensu the Saccharomyces research community), positive regulation of transcription from RNA polymerase II promoter by pheromones, pseudohyphal growth",nucleus,transcription factor activity,STE12,sce:YHR084W,STE12_YEAST,S000001126,856484
YHR115C,"CHF1, DMA1, S000001157",,"establishment of mitotic spindle orientation, mitotic spindle checkpoint, septin ring assembly",cytoplasm,molecular_function,DMA1,sce:YHR115C,DMA1_YEAST,S000001157,856515
YHR135C,"CKI2, S000001177, YCK1",,"cell morphogenesis, cytokinesis, endocytosis, protein amino acid phosphorylation, response to glucose stimulus","endoplasmic reticulum, mitochondrion, plasma membrane",casein kinase I activity,KC11,sce:YHR135C,KC11_YEAST,S000001177,856537
YHR141C,"MAK18, RPL42B, S000001183, ribosomal protein L42B (YL27) (L41B) (YP44)",ribosomal protein L42B (YL27) (L41B) (YP44),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL44A,sce:YHR141C,RL44A_YEAST,S000005106,855560
YHR141C,"MAK18, RPL42B, S000001183, ribosomal protein L42B (YL27) (L41B) (YP44)",ribosomal protein L42B (YL27) (L41B) (YP44),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL44A,sce:YHR141C,RL44A_YEAST,S000005106,856544
YHR141C,"MAK18, RPL42B, S000001183, ribosomal protein L42B (YL27) (L41B) (YP44)",ribosomal protein L42B (YL27) (L41B) (YP44),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL44B,sce:YHR141C,RL44B_YEAST,S000001183,855560
YHR141C,"MAK18, RPL42B, S000001183, ribosomal protein L42B (YL27) (L41B) (YP44)",ribosomal protein L42B (YL27) (L41B) (YP44),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL44B,sce:YHR141C,RL44B_YEAST,S000001183,856544
YHR171W,"APG7, ATG7, CVT2, S000001214",,"C-terminal protein lipidation, autophagy, protein modification, protein targeting to vacuole","cytoplasm, cytosol, membrane, mitochondrion","APG12 activating enzyme activity, APG8 activating enzyme activity",ATG7,sce:YHR171W,ATG7_YEAST,S000001214,856576
YHR174W,"ENO2, S000001217, enolase",enolase,"gluconeogenesis, glycolysis","phosphopyruvate hydratase complex, soluble fraction",phosphopyruvate hydratase activity,ENO2,sce:YHR174W,ENO2_YEAST,S000001217,856579
YHR179W,"Old Yellow Enzyme,  isoform 2, NAPDH dehydrogenase (old yellow enzyme), OYE2, S000001222","NAPDH dehydrogenase (old yellow enzyme), isoform 2, Old Yellow Enzyme",biological_process,"cytoplasm, mitochondrion, nucleus",NADPH dehydrogenase activity,OYE2,sce:YHR179W,OYE2_YEAST,S000001222,856584
YHR198C,S000001241,,biological_process,mitochondrion,molecular_function,AIM18,sce:YHR198C,AIM18_YEAST,S000001241,856605
YIL015W,"BAR1, S000001277, SST1, protease",protease,protein catabolic process,periplasmic space (sensu the Fungi research community),aspartic-type endopeptidase activity,BAR1,sce:YIL015W,BAR1_YEAST,S000001277,854797
YIL045W,"PIG2, S000001307",,regulation of glycogen biosynthetic process,cytoplasm,protein phosphatase type 1 regulator activity,PIG2,sce:YIL045W,PIG2_YEAST,S000001307,854766
YIL052C,"RPL34B, S000001314, ribosomal protein L34B",ribosomal protein L34B,telomere maintenance,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL34B,sce:YIL052C,RL34B_YEAST,S000001314,854759
YIL061C," U1-70K,  U1snRNP 70K protein homolog, S000001323, SNP1, U1 70K","U1 70K, U1-70K, U1snRNP 70K protein homolog","nuclear mRNA splicing, via spliceosome","commitment complex, snRNP U1","U1 snRNA binding, mRNA binding",RU17,sce:YIL061C,RU17_YEAST,S000001323,854749
YIL069C,"RPS24B, RPS24EB, S000001331, ribosomal protein S24B",ribosomal protein S24B,,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS24A,sce:YIL069C,RS24A_YEAST,S000000876,854741
YIL069C,"RPS24B, RPS24EB, S000001331, ribosomal protein S24B",ribosomal protein S24B,,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS24A,sce:YIL069C,RS24A_YEAST,S000000876,856805
YIL069C,"RPS24B, RPS24EB, S000001331, ribosomal protein S24B",ribosomal protein S24B,,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS24B,sce:YIL069C,RS24B_YEAST,S000001331,854741
YIL069C,"RPS24B, RPS24EB, S000001331, ribosomal protein S24B",ribosomal protein S24B,,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS24B,sce:YIL069C,RS24B_YEAST,S000001331,856805
YIL070C,"MAM33, S000001332",,aerobic respiration,"mitochondrial matrix, mitochondrion",molecular_function,MAM33,sce:YIL070C,MAM33_YEAST,S000001332,854740
YIL074C,"3-phosphoglycerate dehydrogenase, S000001336, SER33",3-phosphoglycerate dehydrogenase,serine family amino acid biosynthetic process,cytoplasm,phosphoglycerate dehydrogenase activity,SER33,sce:YIL074C,SER33_YEAST,S000001336,854736
YIL105C,"LIT2, S000001367, SLM1",,"actin cable formation, actin cytoskeleton organization and biogenesis, establishment and/or maintenance of actin cytoskeleton polarity, regulation of cell growth","TORC 2 complex, cytoplasm, mitochondrion, plasma membrane",phosphoinositide binding,SLM1,sce:YIL105C,SLM1_YEAST,S000001367,854701
